name,address,wifi
島唄ライブ居酒屋 結歌,沖縄県那覇市牧志１-2-1　花ビル3F,あり
ステーキ&グリル パイレーツ,沖縄県那覇市牧志２－６－２　PIER88ビル　２F,あり
バルコラボ 肉バル 沖国大前店,沖縄県宜野湾市宜野湾３-1-23 1F,未確認
Bartender's cafe Vigorous バーテンダーズ カフェ ヴィゴラス,沖縄県那覇市牧志１－20－13　SO牧志ビル2・3F,なし
沖縄居酒屋 轟屋 ゴウヤ 大阪梅田店,大阪府大阪市北区堂山町１－２１,未確認
焼肉レストラン ロインズ ROINS 久茂地店,沖縄県那覇市久茂地２－６－１６　１F,あり
東海岸BBQ TERUMA,沖縄県うるま市与那城照間1860-1 TERUMA1F,なし
ちゅらちゅら 那覇国際通り店,沖縄県那覇市松尾１-4-10　ホテル国際プラザ２F,あり
海鮮トロ箱と島やさい天串 ぬもんちゅが,沖縄県那覇市牧志１－２－８　我謝ビル　１階,なし
沖縄の台所 ぱいかじ デイゴ別邸,沖縄県国頭郡恩納村冨着760-1,あり
バルコラボ TAKKYUバル 奥武山公園,沖縄県那覇市鏡原町1-63 かめこうビル1F,あり
コラボキッチン ライカム店,沖縄県中頭郡中城村ライカム1番地,未確認
バルコラボ 県庁前店,沖縄県那覇市泉崎１-11-2 ダイワロイネットホテル沖縄県庁前1F,あり
沖縄居酒屋 昭和村,沖縄県那覇市牧志３-1-20　2階,あり
和琉炭焼 石庭,沖縄県那覇市松山２－１－１８　住太郎ビル２F,なし
芋んちゅ 東岡崎店,愛知県岡崎市明大寺本町４－１８,なし
わらゆい 国際通り,沖縄県那覇市牧志２-3-1-2F,あり
焼肉レストラン ロインズ 松山店,沖縄県那覇市松山２-10-13,あり
ハヌリ 池袋店,東京都豊島区東池袋１-4-6　高和ビル5F,なし
Poco a Poco 久茂地店,沖縄県那覇市久茂地３-13-1　２F ,あり
琉宮ダイニング 亀千人 久茂地店,沖縄県那覇市久茂地３-12-1第一久茂地ビル3F,なし
和風ダイニング 壺,沖縄県那覇市壺川２-5-6,未確認
炙る チェリチェリ,沖縄県那覇市久茂地３-8-19,あり
63cafe　Naha,沖縄県那覇市辻３-2-1　コスタビレッジエスパーナ2階,なし
麹蔵 有楽町晴海通り本店,東京都千代田区有楽町１-6-4 千代田ビルB1・B2,あり
いちゃりば コラボ 北谷店,沖縄県中頭郡北谷町美浜３-3-3 1F,未確認
沖縄食堂じまんや,沖縄県那覇市牧志２－１７－４６,あり
バルコラボ MEAT&PIZZA 那覇天久店,沖縄県那覇市天久２-2-5 ファミール天久1F,未確認
ホルモンここから　那覇栄町店,沖縄県那覇市安里３-88-10,なし
外食家 くじら 北中城店,沖縄県中頭郡北中城村仲順443-1,あり
しだ風,東京都港区芝５-20-20 B1F,なし
民謡ステージ歌姫,沖縄県那覇市牧志１－２－３１ハイサイおきなわビルB１F,あり
うみんちゅぬやまんちゅぬ 札幌お座敷店,北海道札幌市中央区南３条西４丁目２１番地６　南３西４ビル　５Ｆ,あり
炉端焼き　ちどり　松山店,沖縄県那覇市松山１丁目6番地3,あり
沖縄ダイニング 琉歌 沖縄本店,沖縄県那覇市久茂地３-13-16,あり
kitchen キッチン 084 ohashi,沖縄県那覇市牧志３-5-19,あり
炭火網焼きジンギスカン 羊蹄山,沖縄県那覇市牧志１-3-11　花笠楼ビル１Ｆ,あり
ちゅらり 横浜店,神奈川県横浜市西区南幸１－１２－８　ＴＫ横浜西口ビルＢ１Ｆ,あり
ホルモンここから　美栄橋店,沖縄県那覇市久茂地２-24-20,なし
バルコラボ 那覇新都心,沖縄県那覇市おもろまち４-6-17 おもろパークテラス　2F,あり
芋んちゅ 新瑞橋店,愛知県名古屋市瑞穂区洲山町２－３－１　フェニックス新瑞１Ｆ２Ｆ,なし
島人の宝,北海道札幌市中央区北３条西２カミヤマビルB1 ,未確認
ガジュマルカフェ,沖縄県沖縄市上地２-9-3 1階,あり
沖縄んDINING ちゅらか～ぎ～,沖縄県那覇市久茂地３-１１-２,なし
アグー豚のしゃぶしゃぶと島刺し盛り まーさんの家,沖縄県那覇市松尾１－３－１　エスプリコート　B１階,なし
鰓呼吸 石垣島,沖縄県石垣市美崎町7-14 ホテルエメラルドアイル1F,あり
ふぁみりー居酒屋 だんらん,香川県高松市木太町３６２８ー１,未確認
PAIKAJI TERRACE パイカジ テラス,東京都立川市柴崎町３-4-2IZAI1-A,あり
TEECH,沖縄県宜野湾市大山３丁目５番１号,なし
バルコラボ 肉バル 浦添市役所前店,沖縄県浦添市安波茶２-1-6 サンシティビル1F A号室,なし
地酒と炙りの 火人粋,沖縄県那覇市久茂地３－１２－１８,あり
韓国食堂ポックン 那覇店,沖縄県那覇市牧志３-３-２１,あり
居酒屋 又吉商店,沖縄県那覇市赤嶺２-3-1　Fステージ赤嶺ステーション1-B,なし
安寿賀,沖縄県那覇市松山２-11-5　キャスティ松山Ｉビル　１Ｆ,あり
沖縄ダイニング 琉歌 りゅうか 上野本館,東京都台東区上野４-8-10　第3 ＳＥＩＫＡ　ＢＬＤ123,なし
金武アグーと山城牛のしゃぶしゃぶ 琉球 別邸,沖縄県那覇市牧志１/3番56号ルシェンテビル1階,あり
琉球坊主 立川北口店,東京都立川市緑町4-5　コトブキヤビル１F　104,あり
ソトナベ SOTONABE 宜野湾本店,沖縄県宜野湾市真志喜３-28-8　ラウンドワン宜野湾1F,あり
かふぅ 名嘉真本店,沖縄県国頭郡恩納村名嘉真２２１７ー１　大道アパート２F,あり
麹蔵 市ヶ谷店,東京都千代田区九段北４－２－６　市ヶ谷ビルＢ１,あり
料亭那覇,沖縄県那覇市辻２－２－１１,あり
マンチーズ,沖縄県那覇市安里１－１－５８　光生ビル２F,あり
おいしい魚とやきとりの店 一巡,沖縄県那覇市久茂地２-11-7,あり
しか枡屋,沖縄県那覇市久茂地２－６－１　コーポカミハマビル１F,あり
かせる,北海道札幌市中央区南３条西３丁目　G-DINING札幌ビル４階,未確認
旬な魚と鉄板焼 アゲマス,沖縄県那覇市久茂地２－１7－1　リバティービル103,あり
カジュアルスペイン酒場 オレンジ ブーム Bayside kitchen ORANGE BOOM,沖縄県中頭郡北谷町美浜51-3　フェリシダーデ内 1F,あり
温野菜 宜野湾店,沖縄県宜野湾市愛知１－５－３,なし
海鮮 和牛居酒屋 強者 久茂地店,沖縄県那覇市久茂地２-12-1,あり
龍泉 ラゾーナ川崎店,神奈川県川崎市幸区堀川町７２‐１　ラゾーナ川崎プラザ４Ｆ,なし
三線LIVEと島体験の店 SUPER STAR,沖縄県宮古島市平良西里7 ホテル共和別館2階,あり
肥後勝,沖縄県那覇市泉崎１－７－１９,なし
泡盛と沖縄料理 Aサインバー,北海道札幌市中央区南３条西３丁目　プレイタウンふじ井ビル　９F,あり
地酒と漁火の火人粋,沖縄県那覇市泉崎２-4-2,あり
海辺のレストラン　JIGORO　Ocean,沖縄県石垣市大浜２３２番地８,あり
肉と野菜の産直屋 かうだ,沖縄県那覇市おもろまち４-17-10 1F,あり
焼肉 勇太郎,沖縄県那覇市おもろまち４-17-10　秋桜ビル2F,なし
しゃぶしゃぶダイニング こらぼ 北谷国体道路店,沖縄県中頭郡北谷町字上勢頭667-3,なし
わたんじ 通堂町,沖縄県那覇市泉崎１－７－１９,あり
琉球キッチン 東屋慶名 蒲田店,東京都大田区蒲田５－6－12岩下ビル1階,なし
琉球ぼうず 上北台店,東京都東大和市蔵敷３-９０７-１,あり
アグーしゃぶしゃぶと居酒屋料理の店 肉まる産業,沖縄県那覇市泉崎１－１４－７　ユートピア阮氏ビル１F,なし
鰓呼吸 名護店,沖縄県名護市宮里３-29-12 フェニックスパークホテル1F,あり
ぱいかじターチ PAIKAJI TARCHI,神奈川県平塚市紅谷町18-8 1F,あり
居酒屋 鬼さん 久茂地店,沖縄県那覇市久茂地３-１２-４　ラフテビルB1,未確認
や～じぐゎ～,沖縄県那覇市前島２-14-1,あり
あぐーの隠れ家 冨着店,沖縄県国頭郡恩納村字富着１－１,あり
